"BESTSELLING","DESCRIPTION","GRADE","IMAGEURL","NAME","NEWARRIVAL","PRICE","PRODUCTCODE","QUANTITY","RECOMMENDED","STATUS"
"true","Aut nesciunt et rerum voluptatibus fuga sit possimus id quam esse quibusdam quo dignissimos qui ut.","STANDARD","http://lorempixel.com/1024/768/technics/","Heavy Duty Plastic Car","false","770.27","PRD019","121","false","OUT_OF_STOCK"
"true","Doloribus non cupiditate est vel molestias est porro consequuntur cum perspiciatis enim eligendi eos praesentium laudantium error aspernatur enim.","PREMIUM","http://lorempixel.com/320/200/city/","Sleek Steel Pants","false","867.33","PRD020","374","true","OUT_OF_STOCK"
"false","Ut distinctio aspernatur facere delectus optio architecto voluptatem rem qui corporis culpa animi minima suscipit voluptatem quia.","STANDARD","http://lorempixel.com/g/1280/1024/nightlife/","Incredible Marble Bench","true","369.13","PRD021","58","false","DISCONTINUED"
"false","Et similique reiciendis hic aperiam expedita est vel doloribus molestias impedit ut vel aut nostrum qui.","ECONOMY","http://lorempixel.com/1366/768/abstract/","Intelligent Bronze Bench","false","1676.05","PRD022","325","false","DISCONTINUED"
"true","Quia sunt voluptas ut quis nisi exercitationem quaerat impedit inventore ut quaerat eius voluptates consequatur non quibusdam.","LUXURY","http://lorempixel.com/1024/768/abstract/","Intelligent Steel Coat","false","1532.87","PRD023","258","true","DELETED"
"false","At enim vel fuga cum qui quos mollitia deleniti perspiciatis accusamus omnis molestias molestiae ipsum voluptatem rerum.","STANDARD","http://lorempixel.com/g/1280/1024/sports/","Mediocre Iron Bag","true","988.53","PRD024","219","false","DISCONTINUED"
"true","Sit in qui est non cumque voluptatum dolorem vero porro dolorem dolor error explicabo iste.","PREMIUM","http://lorempixel.com/1366/768/city/","Small Silk Table","true","13.84","PRD025","380","false","OUT_OF_STOCK"
"false","Ut repellat labore repellat illo illum quas corporis ullam fugit quidem aut qui ullam excepturi soluta consectetur laudantium ut.","BUDGET","http://lorempixel.com/1600/1200/nightlife/","Lightweight Linen Hat","true","510.42","PRD026","370","true","AVAILABLE"
"false","Incidunt similique qui odit dolor quis delectus eum dolor et rerum sint perspiciatis exercitationem ut architecto quaerat.","BUDGET","http://lorempixel.com/720/348/food/","Heavy Duty Aluminum Wallet","false","470.06","PRD027","420","true","PRE_ORDER"
"true","Quaerat incidunt aliquid ad atque ullam adipisci aperiam molestias odit optio sunt id laborum omnis.","LUXURY","http://lorempixel.com/1024/768/technics/","Lightweight Granite Car","true","1009.78","PRD028","232","true","HIDDEN"
"true","Temporibus quod illo culpa et et molestias vero non corrupti excepturi ullam voluptate explicabo velit ducimus et.","STANDARD","http://lorempixel.com/g/320/200/nightlife/","Gorgeous Granite Plate","true","1727.04","PRD029","45","true","AVAILABLE"
"true","Omnis aliquam ex vel quas ex laborum quae unde excepturi quia eum hic unde ducimus commodi et ab aut blanditiis.","STANDARD","http://lorempixel.com/g/640/350/people/","Lightweight Wool Pants","true","1109.07","PRD030","101","false","DELETED"
"false","Reiciendis voluptate id voluptatem a distinctio beatae quo voluptatem consequatur veritatis dolores voluptates modi voluptas doloremque autem vel quo numquam.","PREMIUM","http://lorempixel.com/g/1366/768/people/","Enormous Granite Watch","false","1247.55","PRD031","383","false","DELETED"
"true","Veniam velit quam minima atque accusamus soluta laboriosam laudantium vitae fuga quidem impedit voluptas et architecto.","ECONOMY","http://lorempixel.com/g/1024/768/technics/","Awesome Bronze Wallet","false","184.72","PRD032","360","true","AVAILABLE"
"true","Dolor corporis qui quae ipsa incidunt numquam et excepturi dolore eligendi non enim atque id aliquam quia.","ECONOMY","http://lorempixel.com/640/480/technics/","Ergonomic Copper Clock","true","442.5","PRD033","496","false","OUT_OF_STOCK"
"false","Suscipit quo vitae esse nihil deserunt et eum aut quos molestias eius voluptatem quia dolores et optio.","BUDGET","http://lorempixel.com/640/200/nature/","Practical Granite Table","false","377.11","PRD034","119","false","DISCONTINUED"
"false","Esse quisquam dolorem perferendis sint repellat sit nobis delectus assumenda id sunt ipsa neque molestias non aut excepturi.","STANDARD","http://lorempixel.com/g/640/480/business/","Heavy Duty Silk Table","false","1881.95","PRD035","484","false","AVAILABLE"
"false","Commodi est ea ex officia rem est cupiditate consequuntur iure ut rem dolor ex ut molestias rem accusantium.","BUDGET","http://lorempixel.com/320/200/food/","Synergistic Steel Shoes","false","761.02","PRD036","232","false","AVAILABLE"
"true","Officia et atque doloribus voluptas consequatur aperiam aut dicta voluptates provident autem dignissimos quod facere enim aspernatur.","STANDARD","http://lorempixel.com/1366/768/fashion/","Ergonomic Leather Watch","false","659.97","PRD037","289","true","HIDDEN"
"true","Nulla distinctio debitis necessitatibus quo quas iusto sit dolorem aliquam asperiores laborum ea voluptatem libero id commodi sed.","LUXURY","http://lorempixel.com/g/640/200/sports/","Awesome Concrete Bench","true","97.19","PRD038","453","false","DISCONTINUED"
"true","Quia sit sed praesentium dolor nulla ea et ad deserunt eaque aliquam consequuntur inventore vitae repellat.","ECONOMY","http://lorempixel.com/1366/768/cats/","Synergistic Plastic Gloves","false","570.02","PRD039","362","true","AVAILABLE"
"true","Accusamus nulla consequuntur tempora quisquam libero error qui ipsa officiis alias sit et non dolores accusamus.","PREMIUM","http://lorempixel.com/g/1366/768/sports/","Gorgeous Granite Clock","false","7.64","PRD040","386","false","OUT_OF_STOCK"
"false","In ut rerum tempora nobis illo iure vel sit adipisci sint molestiae illo ut quo ducimus sit enim.","ECONOMY","http://lorempixel.com/g/1600/1200/sports/","Awesome Wool Plate","false","1287.65","PRD041","143","false","OUT_OF_STOCK"
"true","Rerum distinctio fugiat id magnam quo dignissimos quia ad sit explicabo inventore et veniam nemo placeat molestiae veritatis et amet.","BUDGET","http://lorempixel.com/g/1680/1050/food/","Heavy Duty Rubber Keyboard","true","1501.68","PRD042","215","true","AVAILABLE"
"false","Aut voluptatem sunt est ab doloremque a vel commodi quisquam suscipit voluptatem quasi labore expedita numquam deserunt adipisci eius quasi.","BUDGET","http://lorempixel.com/g/1680/1050/food/","Gorgeous Leather Computer","true","1372.0","PRD043","425","true","AVAILABLE"
"false","Ratione dolorum quas fuga dignissimos accusamus eos et temporibus qui itaque ipsum facere fugiat et.","LUXURY","http://lorempixel.com/720/348/transport/","Small Leather Keyboard","true","513.26","PRD044","393","true","PRE_ORDER"
"true","Sunt dolores est occaecati qui nisi voluptas aut sint omnis dolores ex repellendus placeat totam.","STANDARD","http://lorempixel.com/g/1024/768/city/","Small Linen Watch","false","597.49","PRD045","492","false","PRE_ORDER"
"false","Suscipit nam est rerum quia quo sed et dolores dolores eaque asperiores recusandae doloremque consectetur non.","STANDARD","http://lorempixel.com/1600/1200/cats/","Incredible Linen Hat","false","451.39","PRD046","109","true","PRE_ORDER"
"true","Ipsam quia facere unde at distinctio ea quia fuga alias omnis esse ea atque ut laborum.","LUXURY","http://lorempixel.com/g/720/348/people/","Gorgeous Copper Bench","true","1229.83","PRD047","398","true","DISCONTINUED"
"false","Sunt sint et dolore consequatur nihil repellendus doloremque praesentium et harum qui eius quisquam perferendis error voluptatem similique soluta.","STANDARD","http://lorempixel.com/1920/1200/transport/","Synergistic Concrete Chair","true","1335.69","PRD048","199","true","DISCONTINUED"
"true","Vel in illo pariatur doloribus vel sed quae cumque praesentium ad dolor vel sapiente et.","ECONOMY","http://lorempixel.com/320/200/food/","Enormous Bronze Watch","true","1508.7","PRD049","461","true","OUT_OF_STOCK"
"true","Consequatur est cum laborum qui nam tenetur qui neque fugit tempore ut ut deleniti ipsam et maxime.","STANDARD","http://lorempixel.com/g/1680/1050/people/","Enormous Aluminum Table","false","1577.93","PRD050","421","true","PRE_ORDER"
"false","Unde non voluptatem rem sit sunt quis occaecati omnis qui molestiae recusandae et voluptates atque architecto a in occaecati quam.","LUXURY","http://lorempixel.com/1600/1200/sports/","Durable Cotton Lamp","true","372.7","PRD051","354","true","OUT_OF_STOCK"
"true","Rem esse eum aut animi distinctio qui quam eum quod aut nobis distinctio fugiat delectus et nemo sint hic officiis.","STANDARD","http://lorempixel.com/g/640/200/cats/","Gorgeous Leather Gloves","true","501.84","PRD052","375","false","PRE_ORDER"
"true","Incidunt libero et et et pariatur provident sed corporis magni et magni dignissimos aliquid repellendus.","PREMIUM","http://lorempixel.com/g/1920/1200/nightlife/","Gorgeous Marble Hat","false","1133.85","PRD053","252","false","HIDDEN"
"false","Animi rerum qui minima fuga aut voluptatem aperiam quaerat earum itaque voluptatibus vitae harum quod est aut et hic nulla.","PREMIUM","http://lorempixel.com/g/640/200/fashion/","Mediocre Plastic Pants","false","1944.42","PRD054","200","true","DISCONTINUED"
"true","Omnis error nam eos assumenda ex et nemo enim aut vero quidem quia eveniet et dolor perspiciatis.","STANDARD","http://lorempixel.com/1366/768/cats/","Durable Silk Hat","false","426.48","PRD055","439","false","DISCONTINUED"
"false","Cumque laboriosam ea facilis ipsa maiores accusamus sint voluptates sit reiciendis ipsa illum est et aut.","ECONOMY","http://lorempixel.com/g/1600/1200/nature/","Heavy Duty Wool Clock","false","1945.55","PRD056","4","false","PRE_ORDER"
"false","Odio necessitatibus perspiciatis facere quaerat eum atque magni numquam at tempora quaerat impedit quam autem eum qui qui.","LUXURY","http://lorempixel.com/g/640/350/business/","Heavy Duty Wooden Knife","false","925.55","PRD057","369","true","AVAILABLE"
"true","Harum ad nemo harum sed fugit sed vel eligendi nihil at ea facere perferendis qui nemo minus soluta.","STANDARD","http://lorempixel.com/1680/1050/nightlife/","Sleek Granite Shirt","true","1796.96","PRD058","401","true","HIDDEN"
"false","Voluptates dolorem magnam consequatur fuga nam aliquid et ipsum at quas delectus molestias libero quis quis consequatur quia cum.","ECONOMY","http://lorempixel.com/1366/768/people/","Synergistic Bronze Shirt","false","99.66","PRD059","379","false","AVAILABLE"
"false","Ratione consequatur dignissimos commodi dolor ut aut molestiae in voluptate unde sequi quisquam deleniti ea sint dolores et nobis cumque.","LUXURY","http://lorempixel.com/640/480/food/","Rustic Concrete Shirt","false","617.03","PRD060","488","false","DELETED"
"false","A distinctio qui ab quisquam quos dolor repellendus magnam eius dignissimos voluptatibus ipsum velit pariatur.","STANDARD","http://lorempixel.com/640/480/people/","Synergistic Wool Watch","true","1243.26","PRD061","46","true","AVAILABLE"
"true","Facere doloribus eos modi facere rerum est optio magnam vel consequatur eos quia quas ipsam autem.","STANDARD","http://lorempixel.com/g/640/350/people/","Sleek Paper Gloves","true","857.64","PRD062","465","false","DELETED"
"false","Molestias debitis ut qui distinctio expedita iure et inventore magnam aut et nostrum iste ullam omnis.","LUXURY","http://lorempixel.com/320/200/animals/","Heavy Duty Bronze Plate","false","863.18","PRD063","213","false","HIDDEN"
"true","Autem rerum ea dolorum ut alias perspiciatis optio cum ut magnam eligendi exercitationem corporis nesciunt rerum nisi et blanditiis.","PREMIUM","http://lorempixel.com/g/1024/768/technics/","Aerodynamic Steel Gloves","false","1110.1","PRD064","35","false","HIDDEN"
"true","Consequatur praesentium similique consequatur sed velit eveniet numquam est sint maxime ut ipsam qui laudantium velit pariatur totam.","ECONOMY","http://lorempixel.com/1280/1024/animals/","Durable Cotton Hat","false","95.23","PRD065","35","false","AVAILABLE"
"false","Suscipit ab voluptas aut nihil ex itaque eveniet omnis suscipit consequatur in sit eaque reprehenderit ex.","BUDGET","http://lorempixel.com/g/1920/1200/cats/","Rustic Aluminum Keyboard","true","1292.38","PRD066","350","true","OUT_OF_STOCK"
"true","Porro quis ipsum dolores voluptas omnis occaecati repellendus dolorem velit corrupti vel enim culpa qui aut nihil quo dolor eos.","BUDGET","http://lorempixel.com/1024/768/people/","Enormous Iron Knife","true","363.06","PRD067","430","false","DISCONTINUED"
"false","Voluptates quis et reprehenderit enim eligendi aliquid non sit ea architecto quo ut ut repellat.","LUXURY","http://lorempixel.com/g/640/350/food/","Practical Steel Clock","true","1557.79","PRD068","414","true","DELETED"
"true","Expedita perspiciatis amet nisi quaerat pariatur qui est non deserunt animi voluptate necessitatibus aut repellat consequatur.","STANDARD","http://lorempixel.com/1920/1200/nightlife/","Small Aluminum Plate","false","94.5","PRD069","391","false","HIDDEN"
"true","Ut et et vel earum dolor ea ad est culpa aut ratione impedit est iure voluptas.","ECONOMY","http://lorempixel.com/g/320/200/fashion/","Ergonomic Steel Watch","false","44.91","PRD070","429","true","HIDDEN"
"true","Nulla temporibus aut sequi aut est quibusdam minima provident ut nobis fugit nesciunt quia corporis et rerum dolores.","LUXURY","http://lorempixel.com/1024/768/fashion/","Fantastic Silk Bag","true","303.09","PRD071","438","false","HIDDEN"
"true","Velit eos id quia fugit beatae atque est architecto temporibus est magnam velit nihil inventore.","STANDARD","http://lorempixel.com/1600/1200/sports/","Awesome Wooden Gloves","true","686.49","PRD072","349","false","HIDDEN"
"false","Non qui qui eum culpa veritatis id animi quis sunt et atque exercitationem hic est voluptas aut assumenda.","LUXURY","http://lorempixel.com/g/1920/1200/cats/","Practical Plastic Coat","false","1610.44","PRD073","302","false","PRE_ORDER"
"false","Vel quae vel consequuntur rem et quo ipsam rem dolor et nobis iure illo fuga repellendus placeat in rerum excepturi.","PREMIUM","http://lorempixel.com/640/200/cats/","Gorgeous Bronze Bag","false","925.13","PRD074","76","true","DISCONTINUED"
"true","Dicta ut enim consequatur quaerat tempora id optio eos eius nobis porro temporibus sit eum.","LUXURY","http://lorempixel.com/720/348/nature/","Synergistic Leather Plate","true","1248.9","PRD075","382","true","DELETED"
"true","Velit dolores nostrum dolores voluptatem quibusdam aperiam adipisci natus et enim odit perspiciatis iusto est commodi quaerat nihil est.","LUXURY","http://lorempixel.com/g/720/348/technics/","Gorgeous Copper Wallet","false","591.99","PRD076","203","false","HIDDEN"
"false","Et soluta fugiat tempore et aperiam quo optio pariatur laborum vel molestiae suscipit commodi modi enim soluta quibusdam et autem.","ECONOMY","http://lorempixel.com/g/1680/1050/business/","Durable Aluminum Chair","true","1652.5","PRD077","466","true","PRE_ORDER"
"false","Dolor molestiae error autem impedit est voluptate assumenda eligendi in voluptas sed qui atque nulla.","BUDGET","http://lorempixel.com/720/348/nature/","Ergonomic Aluminum Wallet","true","1210.83","PRD078","45","true","HIDDEN"
"true","Molestiae fuga libero sunt voluptatibus sed soluta accusantium doloribus quo voluptatem distinctio sint occaecati omnis dolores neque occaecati ut.","PREMIUM","http://lorempixel.com/g/1920/1200/people/","Intelligent Silk Clock","false","111.01","PRD079","128","false","OUT_OF_STOCK"
"true","Id nulla placeat eum debitis dolores voluptate architecto aspernatur quae occaecati amet iste labore tempora libero debitis.","BUDGET","http://lorempixel.com/640/480/people/","Gorgeous Aluminum Pants","true","467.73","PRD080","96","true","OUT_OF_STOCK"
"false","Sint consequatur ullam sapiente laborum ut consequatur reprehenderit praesentium ut et ullam voluptatem sequi sequi autem nulla quisquam doloribus neque.","BUDGET","http://lorempixel.com/1600/1200/cats/","Rustic Bronze Gloves","true","937.38","PRD081","138","false","HIDDEN"
"true","Necessitatibus iste sed officia ipsa cupiditate quia cupiditate neque ab sapiente beatae iste incidunt dolorem eum quod id atque.","STANDARD","http://lorempixel.com/g/640/350/abstract/","Lightweight Aluminum Wallet","true","1576.8","PRD082","354","false","AVAILABLE"
"false","Voluptate eum amet placeat autem temporibus nisi et laudantium expedita iure et sunt blanditiis error dolores consequatur.","ECONOMY","http://lorempixel.com/1280/1024/nightlife/","Durable Cotton Gloves","false","1725.09","PRD083","30","false","DISCONTINUED"
"false","Qui molestiae hic magni reprehenderit officia molestiae facere rerum voluptate eaque tempore ullam totam quo neque est qui laboriosam.","PREMIUM","http://lorempixel.com/320/200/abstract/","Fantastic Aluminum Keyboard","false","1359.23","PRD084","322","false","OUT_OF_STOCK"
"true","Qui dolorem voluptatem tenetur earum non voluptates non et enim ut quas porro sint aspernatur.","PREMIUM","http://lorempixel.com/g/1366/768/food/","Durable Wooden Table","true","1659.52","PRD085","139","true","DELETED"
"true","Inventore facilis sit numquam saepe dolor porro pariatur soluta et omnis in totam reprehenderit omnis.","BUDGET","http://lorempixel.com/1600/1200/fashion/","Durable Iron Gloves","false","1604.42","PRD086","191","true","HIDDEN"
"true","Consequatur deserunt veniam quibusdam dicta velit sequi modi veritatis ad natus at et quisquam saepe voluptatem.","BUDGET","http://lorempixel.com/g/640/200/abstract/","Incredible Rubber Shoes","false","323.04","PRD087","251","false","PRE_ORDER"
"true","Ut id qui sit totam eaque aut optio nihil natus libero impedit quos quos eum.","PREMIUM","http://lorempixel.com/g/1680/1050/people/","Ergonomic Plastic Table","true","853.93","PRD088","106","true","HIDDEN"
"false","Reiciendis est sequi sit sapiente aut ex sint quod eaque quia totam tempore facere ut est dolor eos aliquid aut.","ECONOMY","http://lorempixel.com/1920/1200/business/","Sleek Silk Shoes","true","1393.18","PRD089","226","true","DISCONTINUED"
"false","Possimus ratione harum consectetur et earum et harum et ea sed tempora vitae provident nulla rerum commodi.","BUDGET","http://lorempixel.com/g/640/480/people/","Heavy Duty Plastic Shirt","false","1314.78","PRD090","492","true","AVAILABLE"
"true","Porro sit error repudiandae voluptas asperiores dignissimos exercitationem doloremque et dolores perspiciatis accusamus veritatis praesentium nesciunt est minus praesentium.","STANDARD","http://lorempixel.com/g/1680/1050/cats/","Heavy Duty Wooden Pants","false","948.2","PRD091","449","false","PRE_ORDER"
"true","Repellendus nisi qui tenetur omnis aperiam maiores mollitia sed a vero optio illo molestias recusandae blanditiis quidem.","PREMIUM","http://lorempixel.com/1680/1050/nightlife/","Rustic Iron Gloves","true","903.48","PRD092","75","true","OUT_OF_STOCK"
"true","Distinctio expedita sit corrupti rerum saepe occaecati accusantium velit nemo aut quia ut quibusdam dolore eum.","ECONOMY","http://lorempixel.com/g/640/350/technics/","Aerodynamic Granite Watch","true","405.19","PRD093","60","false","PRE_ORDER"
"true","Excepturi rerum ullam dolores odio perferendis rem quia aliquam culpa ut et dicta facilis maxime cupiditate eveniet.","PREMIUM","http://lorempixel.com/320/200/nightlife/","Lightweight Marble Table","false","1582.1","PRD094","385","true","DISCONTINUED"
"false","Nihil quod neque ut aut laudantium nihil omnis magnam sint error mollitia rem a id illum autem dicta velit unde.","PREMIUM","http://lorempixel.com/640/480/technics/","Rustic Cotton Bench","false","1961.82","PRD095","218","true","DELETED"
"true","Voluptas earum labore est magnam laudantium voluptates et mollitia id optio ipsam aut consequatur sequi quas facilis eveniet.","PREMIUM","http://lorempixel.com/g/640/200/nightlife/","Rustic Leather Knife","false","105.54","PRD096","168","true","PRE_ORDER"
"false","Repudiandae quia totam accusamus occaecati quos corrupti aliquam sint voluptatum quo odit voluptas ad vel odit quidem cum ut.","PREMIUM","http://lorempixel.com/g/1600/1200/cats/","Intelligent Iron Clock","false","344.03","PRD097","143","false","DELETED"
"false","Voluptatem expedita dignissimos id enim ratione ea ipsa pariatur qui quaerat deleniti tenetur aperiam numquam necessitatibus voluptatem maxime.","ECONOMY","http://lorempixel.com/g/640/350/technics/","Mediocre Bronze Knife","false","1933.47","PRD098","309","false","DELETED"
"true","Aut fugiat similique repellat cum non voluptas cumque ut et enim soluta fuga odio ipsa.","ECONOMY","http://lorempixel.com/g/640/200/technics/","Gorgeous Linen Wallet","false","1361.11","PRD099","456","true","PRE_ORDER"
"false","Architecto sed et laudantium earum inventore enim hic delectus ea tempore maxime et est magni aut.","STANDARD","http://lorempixel.com/g/1600/1200/nightlife/","Rustic Linen Bench","false","708.97","PRD100","139","true","OUT_OF_STOCK"
"true","Quam et vel et expedita velit alias voluptas consequuntur reprehenderit voluptas dolores non quo vel rem rerum hic.","ECONOMY","http://lorempixel.com/640/480/food/","Lightweight Leather Table","false","1825.94","PRD101","6","true","PRE_ORDER"
"false","Asperiores rerum nobis at placeat sint cum et reprehenderit enim quis vel maxime cupiditate eos harum voluptatum.","PREMIUM","http://lorempixel.com/1280/1024/people/","Ergonomic Wooden Coat","true","881.49","PRD102","148","true","OUT_OF_STOCK"
"false","Eum quia nulla voluptatem aut in eligendi porro officia provident deserunt earum ut voluptatem repellat mollitia ullam.","LUXURY","http://lorempixel.com/320/200/cats/","Durable Copper Bench","true","405.83","PRD103","18","true","DELETED"
"false","Delectus et iste nam fuga molestiae nulla at est doloremque provident et officiis quisquam aut.","PREMIUM","http://lorempixel.com/1280/1024/fashion/","Incredible Wool Bag","true","1855.89","PRD104","363","false","PRE_ORDER"
"true","Libero in qui accusantium qui dolorem cum ut nulla aliquid debitis autem quasi sed doloribus necessitatibus.","ECONOMY","http://lorempixel.com/1024/768/nightlife/","Gorgeous Paper Watch","true","973.45","PRD105","158","true","DISCONTINUED"
"false","Voluptas ratione quia aut quo similique quas aliquam aut ut quo libero recusandae ab ab.","LUXURY","http://lorempixel.com/1680/1050/city/","Rustic Cotton Car","false","1729.77","PRD106","437","false","DISCONTINUED"
"true","Et autem cupiditate non et assumenda tenetur est amet numquam et dolorem quasi ipsam in in sint non expedita et.","LUXURY","http://lorempixel.com/1600/1200/technics/","Ergonomic Plastic Shoes","false","868.24","PRD107","409","true","DELETED"
"false","Officiis necessitatibus et tenetur odio eius aut molestiae aut voluptas optio voluptas unde omnis quia.","LUXURY","http://lorempixel.com/g/720/348/fashion/","Lightweight Concrete Keyboard","true","490.37","PRD108","447","true","OUT_OF_STOCK"
"true","Repellat ut qui nisi in et quis ut velit vel iusto consequatur perferendis et et autem nam.","STANDARD","http://lorempixel.com/720/348/food/","Durable Wooden Shirt","true","1154.74","PRD109","496","true","PRE_ORDER"
"true","Neque deleniti voluptates est iusto ut molestiae enim vitae perspiciatis in quasi enim in sed eveniet praesentium.","ECONOMY","http://lorempixel.com/1280/1024/nature/","Small Concrete Watch","false","785.8","PRD110","429","false","OUT_OF_STOCK"
"true","Quia molestiae magni tenetur minima error nihil eos minima non ut est provident illo et earum sapiente.","PREMIUM","http://lorempixel.com/1600/1200/food/","Practical Concrete Knife","false","233.09","PRD111","32","false","HIDDEN"
"true","Quia eveniet quae ratione unde repellendus officia et labore nisi similique quo veniam cumque animi quibusdam fugiat optio et nostrum.","STANDARD","http://lorempixel.com/1600/1200/business/","Synergistic Paper Plate","true","1589.47","PRD112","105","true","PRE_ORDER"
"false","Ea sint cumque odit quibusdam pariatur doloribus ratione itaque doloremque alias itaque sit dolorem explicabo cupiditate similique.","ECONOMY","http://lorempixel.com/g/640/480/nightlife/","Fantastic Copper Pants","true","1836.15","PRD113","469","true","OUT_OF_STOCK"
"false","Placeat blanditiis explicabo ipsum rerum perspiciatis aut corporis illum ut rem accusantium dolorem nulla omnis dignissimos et aut excepturi.","LUXURY","http://lorempixel.com/g/720/348/abstract/","Awesome Aluminum Gloves","true","1338.79","PRD114","379","true","OUT_OF_STOCK"
"true","Velit vitae voluptatem placeat dolores sequi molestiae id id et adipisci aut tempore doloribus sunt delectus omnis rerum.","BUDGET","http://lorempixel.com/g/640/350/food/","Enormous Silk Pants","false","127.43","PRD115","453","true","PRE_ORDER"
"true","Tempora ad consequatur qui aliquid et odio molestiae consequuntur commodi quod quos aspernatur omnis odio et deserunt delectus.","PREMIUM","http://lorempixel.com/g/640/200/transport/","Heavy Duty Concrete Car","true","485.57","PRD116","260","false","OUT_OF_STOCK"
"true","Distinctio labore id numquam sed aut earum est voluptatum adipisci ipsam repudiandae omnis non dolores.","BUDGET","http://lorempixel.com/1280/1024/abstract/","Aerodynamic Granite Watch","true","1385.86","PRD117","339","false","DELETED"
